start	end	text	predictions
0.0	0.36	 I'm sorry.	0.0
0.5	1.28	 I'm sorry.	0.0
2.34	2.8	 I'm sorry.	0.0
2.8	3.65	 I'm sorry.	0.0
3.65	4.9	 I'm sorry.	0.0
5.68	6.35	 I'm sorry.	0.0
6.35	7.2	 I'm sorry.	0.0
7.2	7.58	 I'm sorry.	0.0
8.52	8.98	 I'm sorry.	0.0
10.08	10.5	 I'm sorry.	0.0
10.5	10.54	 I'm sorry.	0.0
10.54	11.64	 I'm sorry.	0.0
11.64	12.3	 I'm sorry.	0.0
13.92	14.16	 I'm sorry.	0.0
14.94	15.14	 I'm sorry.	0.0
15.76	16.02	 I'm sorry.	0.0
16.9	17.48	 I'm sorry.	0.0
17.62	18.48	 I'm sorry.	0.0
18.5	18.62	 I'm sorry.	0.0
19.6	19.7	 I'm sorry.	0.0
19.7	20.4	 I'm sorry.	0.0
21.48	22.34	 I'm sorry.	0.0
22.58	22.88	 I'm sorry.	0.0
22.88	23.55	 I'm sorry.	0.0
23.55	24.3	 I'm sorry.	0.0
24.5	26.1	 I'm sorry.	0.0
26.1	27.5	 I'm sorry.	0.0
27.5	28.5	 I'm sorry.	0.0
28.8	29.1	 I'm sorry.	0.0
29.1	29.61	 I'm sorry.	0.0
29.61	29.76	 I'm sorry.	0.0
31.4	31.75	 I'm sorry.	0.0
31.75	31.98	 I'm sorry.	0.0
33.66	34.14	 I'm sorry.	0.0
34.48	34.78	 I'm sorry.	0.0
35.42	36.02	 I'm sorry.	0.0
36.52	36.74	 I'm sorry.	0.0
36.74	37.72	 I'm sorry.	0.0
38.28	38.99	 I'm sorry.	0.0
38.99	39.64	 I'm sorry.	0.0
40.1	41.38	 I'm sorry.	0.0
41.38	41.42	 I'm sorry.	0.0
42.78	43.32	 I'm sorry.	0.0
43.32	43.36	 I'm sorry.	0.0
44.28	45.48	 I'm sorry.	0.0
45.98	46.2	 I'm sorry.	0.0
46.62	47.48	 I'm sorry.	0.0
47.48	48.4	 I'm sorry.	0.0
48.6	49.43	 I'm sorry.	0.0
49.43	49.92	 I'm sorry.	0.0
50.5	50.84	 I'm sorry.	0.0
50.84	51.14	 I'm sorry.	0.0
51.5	52.78	 I'm sorry.	0.0
53.18	54.38	 I'm sorry.	0.0
54.38	54.42	 I'm sorry.	0.0
55.6	56.18	 I'm sorry.	0.0
56.18	56.22	 I'm sorry.	0.0
57.42	58.5	 I'm sorry.	0.0
58.5	58.58	 I'm sorry.	0.0
59.38	59.66	 I'm sorry.	0.0
60.66	61.48	 I'm sorry.	0.0
61.48	61.6	 I'm sorry.	0.0
63.48	63.52	 I'm sorry.	0.0
64.04	64.36	 I'm sorry.	0.0
64.36	64.74	 I'm sorry.	0.0
65.34	66.38	 I'm sorry.	0.0
66.56	66.86	 I'm sorry.	0.0
68.44	68.48	 I'm sorry.	0.0
69.08	69.12	 I'm sorry.	0.0
69.12	69.16	 I'm sorry.	0.0
70.88	71.48	 I'm sorry.	0.0
72.48	72.52	 I'm sorry.	0.0
72.52	72.98	 I'm sorry.	0.0
72.98	73.02	 I'm sorry.	0.0
74.56	75.24	 I'm sorry.	0.0
75.24	75.38	 I'm sorry.	0.0
76.88	77.48	 I'm sorry.	0.0
77.94	78.24	 I'm sorry.	0.0
78.24	78.74	 I'm sorry.	0.0
78.78	80.24	 I'm sorry.	0.0
80.54	80.96	 I'm sorry.	0.0
81.24	81.52	 I'm sorry.	0.0
82.58	83.24	 I'm sorry.	0.0
83.24	83.28	 I'm sorry.	0.0
84.56	85.26	 I'm sorry.	0.0
85.26	85.99	 I'm sorry.	0.0
85.99	86.54	 I'm sorry.	0.0
88.48	88.52	 I'm sorry.	0.0
88.88	88.92	 I'm sorry.	0.0
89.3	89.68	 I'm sorry.	0.0
91.12	91.16	 I'm sorry.	0.0
91.66	92.34	 I'm sorry.	0.0
92.36	93.08	 I'm sorry.	0.0
93.08	94.0	 I'm sorry.	0.0
94.32	95.28	 I'm sorry.	0.0
95.28	95.5	 I'm sorry.	0.0
97.48	97.52	 I'm sorry.	0.0
97.9	98.46	 I'm sorry.	0.0
98.62	98.98	 I'm sorry.	0.0
98.98	99.12	 I'm sorry.	0.0
100.54	100.58	 I'm sorry.	0.0
101.84	101.88	 I'm sorry.	0.0
103.18	103.22	 I'm sorry.	0.0
104.34	104.38	 I'm sorry.	0.0
104.42	104.96	 I'm sorry.	0.0
104.96	105.0	 I'm sorry.	0.0
106.48	107.03	 I'm sorry.	0.0
107.03	107.36	 I'm sorry.	0.0
108.36	108.84	 I'm sorry.	0.0
108.84	109.26	 I'm sorry.	0.0
109.5	111.01	 I'm sorry.	0.0
111.01	111.3	 I'm sorry.	0.0
112.34	113.38	 I'm sorry.	0.0
113.56	113.87	 I'm sorry.	0.0
113.87	114.73	 I'm sorry.	0.0
114.73	115.72	 I'm sorry.	0.0
116.0	117.24	 I'm sorry.	0.0
117.78	118.08	 I'm sorry.	0.0
118.08	118.28	 I'm sorry.	0.0
119.32	120.48	 I'm sorry.	0.0
120.48	120.74	 I'm sorry.	0.0
121.68	122.24	 I'm sorry.	0.0
122.86	123.02	 I'm sorry.	0.0
123.82	123.86	 I'm sorry.	0.0
124.32	125.04	 I'm sorry.	0.0
125.28	126.04	 I'm sorry.	0.0
126.04	126.12	 I'm sorry.	0.0
128.16	128.2	 I'm sorry.	0.0
128.6	128.89	 I'm sorry.	0.0
128.89	129.36	 I'm sorry.	0.0
130.22	131.5	 I'm sorry.	0.0
131.5	132.12	 I'm sorry.	0.0
132.62	133.38	 I'm sorry.	0.0
133.48	133.89	 I'm sorry.	0.0
133.89	134.18	 I'm sorry.	0.0
135.36	135.8	 I'm sorry.	0.0
136.58	137.48	 I'm sorry.	0.0
137.48	137.88	 I'm sorry.	0.0
138.66	139.4	 I'm sorry.	0.0
139.4	139.44	 I'm sorry.	0.0
140.44	140.92	 I'm sorry.	0.0
140.92	141.52	 I'm sorry.	0.0
142.98	143.48	 I'm sorry.	0.0
143.78	144.5	 I'm sorry.	0.0
144.5	145.18	 I'm sorry.	0.0
145.58	149.0	 And if it's not the gooks, it's these old fucking Jews who've owned the store for 15	1.0
149.04	149.9	 fucking generations.	1.0
149.92	153.82	 You've got Grandpa Irving sitting behind the counter with a fucking magnum in his hand.	1.0
154.3	156.06	 Try walking in one of those places with nothing but a phone.	0.0
156.1	156.87	 See how far that gets you?	0.0
156.87	157.34	 No, fuck it.	1.0
157.5	157.98	 Forget it.	0.0
158.5	158.64	 We're out of here.	0.0
161.32	161.54	 Yeah, well, what then?	0.0
162.42	162.5	 Day jobs?	0.0
162.5	162.58	 Not in this life.	0.0
162.58	163.02	 What then?	0.0
164.84	165.5	 Garçon, coffee.	0.0
165.5	165.99	 This place.	0.0
165.99	166.46	 Garçon means boy.	0.0
167.5	168.32	 This place?	0.0
168.5	170.46	 A coffee shop.	0.0
180.88	181.84	 What's wrong with that?	0.0
183.72	185.26	 Nobody ever robs restaurants.	0.0
186.28	186.8	 Why not?	0.0
188.26	191.54	 Bars, liquor stores, gas stations.	0.0
191.82	193.54	 You get your head blown off sticking on one of them.	0.0
195.0	195.94	 And the other one's on the other end.	0.0
196.4	197.6	 You catch with their pants down.	1.0
198.1	199.46	 They're not expecting to get robbed.	0.0
200.12	201.18	 Not as expecting anyway.	0.0
201.74	205.48	 I bet you could cut down on the hero factor in a place like this.	0.0
205.78	206.24	 Correct.	0.0
207.08	209.1	 Same as banks, these places are insured.	0.0
209.96	210.44	 Manager.	0.0
211.08	212.2	 You don't give a fuck.	1.0
212.44	215.1	 He's just trying to get you out the door before you start plugging the diners.	0.0
215.38	216.68	 Waitress is fucking forgetting.	1.0
217.16	218.8	 No way they're taking a bullet for the register.	0.0
219.4	222.3	 Busboys, some wetback, getting paid $1.50 an hour.	0.0
222.3	224.68	 Really give a fuck you're stealing from the owner?	1.0
225.42	226.84	 Customers sitting there with food in their mouths.	0.0
226.96	227.78	 I don't know what's going on.	0.0
228.38	229.76	 One minute they're having a Denver omelet.	0.0
229.78	231.54	 Next minute someone's sticking a gun in their face.	0.0
232.86	234.9	 See, I got the idea.	0.0
235.5	237.02	 Last liquor store we stuck up, remember?	0.0
237.8	239.28	 All the customers kept coming in.	0.0
239.86	240.08	 Yeah.	0.0
241.04	242.48	 You got the idea, taking their wallets.	0.0
243.18	243.36	 Mm-hmm.	0.0
243.6	244.48	 Now that was a good idea.	0.0
244.98	245.4	 Thank you.	0.0
245.66	247.24	 Made more from the wallets than we did from the register.	0.0
247.58	248.14	 Yes, we did.	0.0
248.96	250.2	 A lot of people come to our restaurants.	0.0
250.76	251.78	 A lot of wallets.	0.0
252.86	253.76	 Pretty smart, huh?	0.0
255.22	256.04	 Pretty smart.	0.0
258.6	260.4	 I'm ready. Let's do it right now, right here.	0.0
261.5	261.94	 Come on.	0.0
262.22	262.72	 All right.	0.0
264.16	265.18	 Same as last time, remember?	0.0
265.82	266.48	 You're crowd control.	0.0
267.28	268.02	 I'll handle employees.	0.0
268.34	268.92	 Mm-hmm.	0.0
273.98	274.94	 I love you, pumpkin.	0.0
275.48	276.44	 I love you, honey bunny.	0.0
278.4	279.5	 Everybody be cool. This is a robbery!	1.0
280.58	282.5	 Any of you fucking pricks move,	1.0
283.8	286.52	 and I'll execute every motherfucking last one of you!	1.0
399.0	401.14	 Tango boogie, hey, hey, hey	0.0
401.26	403.3	 Tango boogie, get it on	0.0
403.5	405.36	 Tango boogie, hey, hey, hey	0.0
405.46	407.5	 Tango boogie, get it on	0.0
408.08	409.5	 Tango boogie, hey, hey, hey	0.0
410.36	411.52	 Tango boogie, hey, hey, hey	0.0
411.52	412.12	 Tango boogie, hey, hey, hey	0.0
412.62	414.8	 Tango boogie, hey, hey, hey	0.0
414.86	416.82	 Tango boogie, shake it around	0.0
424.98	427.32	 Okay, so tell me again about the hash bar.	0.0
427.32	428.28	 Okay, what you want to know?	0.0
428.94	429.88	 Hash is legal, man, right?	0.0
430.5	431.74	 It's legal, but it ain't 100% legal.	0.0
432.5	434.0	 I mean, you just can't walk into a restaurant,	0.0
434.5	435.76	 roll a joint, and start puffing away.	0.0
436.5	437.86	 I mean, they want you to smoke in your home	0.0
438.5	439.14	 or certain designated places.	0.0
442.52	443.48	 And those are hash bars?	0.0
443.48	445.5	 Yeah, it breaks down like this, okay.	0.0
445.54	447.52	 It's legal to buy it, it's legal to own it,	0.0
448.28	449.56	 and if you're the proprietor of a hash bar,	0.0
450.22	451.32	 it's legal to sell it.	0.0
451.4	453.54	 It's legal to carry it, but that doesn't matter.	0.0
453.88	455.48	 Get a load of this, all right?	1.0
455.48	456.64	 It's illegal for them to search you.	0.0
457.28	459.22	 I mean, that's the right the cops answer don't have.	0.0
459.76	461.24	 Oh, man, I'm going.	0.0
461.32	462.92	 That's all it is to it. I'm fucking going.	1.0
463.16	465.02	 I know, baby. You think you're the most.	0.0
466.98	468.88	 But you know what the funniest thing about Europe is?	0.0
469.0	470.7	 What? It's a little different, Jesus.	0.0
471.46	472.81	 I mean, they got the same shit over there	1.0
472.81	474.64	 that they got here, but it's just there,	0.0
474.64	476.34	 it's a little different. Example.	0.0
476.76	478.38	 All right, well, you can walk into a movie theater	0.0
478.5	479.74	 in Amsterdam and buy a beer.	0.0
480.5	482.24	 And I don't mean just like an old paper cup,	0.0
483.0	484.94	 you can have some beer. And in Paris,	0.0
484.96	486.84	 you can buy a beer in McDonald's.	0.0
487.2	488.28	 And you know what they call it?	0.0
488.88	491.32	 A quarter pounder with cheese in Paris?	0.0
491.84	493.36	 They don't call it a quarter pounder with cheese?	0.0
493.6	494.88	 No, man, they got the metric system.	0.0
494.88	496.7	 They wouldn't know what the fuck a quarter pounder is.	1.0
497.08	497.92	 What do they call it?	0.0
498.5	500.32	 They call it a Royale with cheese.	0.0
500.92	502.86	 A Royale with cheese. That's right.	0.0
503.16	504.16	 What do they call a Big Mac?	0.0
504.78	507.18	 Big Mac's a Big Mac, but they call it Le Big Mac.	0.0
507.66	508.46	 Le Big Mac.	0.0
508.94	509.86	 What do they call a Waffle?	0.0
512.42	513.5	 I don't know. I didn't go on a burger king.	0.0
513.5	514.06	 You know what they put on french fries in Holland	0.0
514.5	516.6	 instead of ketchup or what? Mayonnaise.	0.0
516.9	516.92	 Hey.	0.0
518.5	519.66	 I seen them do it, man.	0.0
520.5	521.54	 They fucking drown them in that shit.	1.0
524.6	524.98	 Yeah.	0.0
528.76	529.48	 We should have shotguns	0.0
529.82	530.98	 with this kind of deal.	0.0
535.02	535.5	 Tell me up there.	0.0
536.2	536.88	 Three or four.	0.0
537.92	538.76	 Best count, that guy?	0.0
539.94	540.58	 Not sure.	0.0
541.74	543.5	 So that means it could be up to five guys up there?	0.0
544.02	544.54	 It's possible.	0.0
545.84	547.38	 We should have fucking shotguns.	1.0
548.36	549.02	 What's her name?	0.0
549.48	549.82	 Mia.	0.0
551.44	552.68	 How do Marcellus and her meet?	0.0
553.28	555.48	 I don't know. However, people meet people.	0.0
556.6	557.48	 She used to be an actress.	0.0
558.14	558.66	 Oh, really?	0.0
558.88	560.08	 Did she do anything out of scene?	0.0
560.74	563.2	 I think her biggest deal was she starred in a pilot.	0.0
563.52	564.7	 A pilot? What's a pilot?	0.0
565.18	566.42	 You know the shows on TV?	0.0
567.3	568.2	 I don't watch TV.	0.0
568.84	571.36	 Yeah, but you are aware that there's an invention	0.0
571.36	573.24	 called television and on this invention	0.0
573.26	575.06	 they show shows, right? Yeah.	0.0
575.66	577.07	 Well, the way they pick TV shows	0.0
577.07	579.13	 is they make one show. That show's called	0.0
579.13	581.31	 a pilot. Then they show that one show	0.0
581.31	583.15	 to the people who pick shows. And on the strength	0.0
583.15	585.48	 of that one show, they decide if they want to make more shows.	0.0
586.06	586.9	 Some get chosen	0.0
586.9	588.44	 and become television programs.	0.0
588.56	590.42	 Some don't. Come nothing.	0.0
591.5	593.34	 She starred in one of the ones that became nothing.	0.0
594.86	595.5	 You remember Antoine Rockamora?	0.0
595.5	595.58	 Half black, half Samoan.	0.0
598.38	599.5	 Used to call him Tony Rocky Horror.	0.0
600.78	601.5	 Yeah, maybe. Fat, right?	1.0
602.36	603.54	 I wouldn't go so far as to call the brother Fat.	1.0
604.2	605.52	 I mean, he got a weight problem. What's the nigger gonna do?	1.0
606.04	607.58	 He's Samoan. Yeah, I think I know what you mean.	0.0
608.2	608.84	 What about him?	0.0
609.3	611.22	 Well, Marcellus fucked him up good.	1.0
611.64	613.04	 Word around the campfire is	0.0
613.04	615.0	 it was on the count of Marcellus Wallace's wife.	0.0
624.2	625.36	 So what'd he do, fucker?	1.0
625.66	627.32	 No, no, no, no, no. Nothing that bad.	0.0
628.14	628.94	 Well, then what then?	0.0
629.74	631.04	 Gave her a foot massage.	0.0
634.06	634.98	 Foot massage?	0.0
636.32	636.92	 That's it?	0.0
637.02	639.48	 Mm-hmm. Then what'd Marcellus do?	0.0
640.58	641.4	 Sent a couple of cats	0.0
641.44	643.48	 over to his place. They took him out on his patio,	0.0
643.78	645.26	 threw his ass over the balcony.	1.0
645.48	647.14	 Nigger fell full of stories.	1.0
647.7	649.32	 Had a little garden down at the bottom	0.0
649.58	651.05	 and clothed in glass like a greenhouse.	0.0
651.05	653.3	 Well, nigger fell through that.	1.0
654.2	655.48	 Since then, he kind of developed	0.0
655.54	656.54	 a speech impediment.	0.0
658.72	659.84	 That's a damn shame.	1.0
666.24	667.38	 But still, I have to say,	0.0
667.42	669.14	 you play with matches, you get burned.	0.0
669.34	669.98	 What do you mean?	0.0
670.5	672.82	 You don't be giving Marcellus Wallace's new bride	0.0
672.82	675.48	 a foot massage. You don't think he overreacted?	0.0
675.98	677.48	 Well, that's why I probably didn't expect	0.0
677.72	679.16	 Marcellus to react the way he did,	0.0
679.16	681.4	 but he had to expect a reaction.	0.0
681.72	683.33	 It was a foot massage. A foot massage	0.0
683.33	685.22	 is nothing. I'd give my mother a foot massage.	0.0
685.84	687.48	 Just laying your hands on a familiar way	0.0
687.54	688.88	 on Marcellus' new wife.	0.0
689.62	691.5	 I mean, is it as bad as eating her pussy out?	1.0
692.06	693.5	 No. It was the same fucking ballpark.	1.0
694.42	695.5	 Whoa, whoa, whoa, whoa. Stop right there.	0.0
695.96	697.48	 Eating a bitch out and giving a bitch a foot massage	1.0
697.82	699.16	 ain't even the same fucking thing.	1.0
699.48	701.06	 It's not. It's the same ballpark.	0.0
701.22	702.92	 Ain't no fucking ballpark, neither.	1.0
703.34	705.3	 Now, look, maybe your method of massage	0.0
705.36	706.96	 differs from mine, but you know, touching	0.0
707.0	708.99	 his wife's feet and sticking your tongue	0.0
708.99	711.07	 in the holiest of holies ain't the same fucking	1.0
711.07	712.64	 ballpark. It ain't the same league.	0.0
712.66	715.14	 It ain't even the same fucking sport. Look, foot massages	1.0
715.14	716.08	 don't mean shit.	1.0
716.74	718.16	 Have you ever given a foot massage?	0.0
719.7	721.44	 Don't be telling me about foot massages.	0.0
721.48	723.04	 I'm the foot fucking master.	1.0
723.28	724.94	 You giving a lot of them? Shit, yeah.	1.0
725.02	726.51	 Got my technique down and everything.	0.0
726.51	727.66	 I don't be tickling or nothing.	0.0
728.62	730.54	 Would you give a guy a foot massage?	0.0
732.88	733.52	 Fuck you.	1.0
735.74	736.58	 You giving him a lot?	0.0
736.86	737.82	 Fuck you.	1.0
738.66	741.12	 You know, I'm kind of tired. I can use a foot massage myself.	0.0
741.28	742.67	 Yo, yo, yo, man, you best back off.	0.0
742.67	743.82	 I'm getting a little pissed here.	1.0
746.22	747.0	 This is the door.	0.0
747.16	747.82	 Yeah, it is.	0.0
751.7	752.42	 What time you got?	0.0
754.44	755.48	 722	0.0
755.7	756.4	 in the a.m.	0.0
756.6	759.48	 Ain't quite time yet. Come on, let's hang back.	0.0
765.0	765.52	 Look,	0.0
768.26	769.54	 just because I wouldn't get no man	0.0
770.04	771.5	 a foot massage, don't make it right for	0.0
771.64	773.48	 myself to throw Antoine off a building into	0.0
773.66	775.5	 a glass motherfucking house fucking up the way the nigga talks.	1.0
776.14	777.0	 That shit ain't right.	1.0
777.52	779.48	 Motherfucker do that shit to me. He better paralyze	1.0
