start	end	text	predictions
0.0	2.06	 You	0.0
30.0	31.46	 You	0.0
46.08	49.38	 The world of investing can be a jungle	0.0
50.46	51.98	 bulls bears	0.0
52.92	59.9	 Danger at every turn. That's why we at Stratton Oakmont pride ourselves on being the best	0.0
60.74	64.44	 trained professionals to guide you through the financial wilderness	0.0
65.36	66.5	 Stratton Oakmont	0.0
68.78	68.8	 stability	0.0
71.56	71.58	 integrity	0.0
71.96	72.48	 pride	0.0
90.06	92.48	 My name is Jordan Belfort	0.0
92.48	99.8	 Not him, me. That's right. I'm a former member of the middle class raised by two accountants in a tiny apartment in Bayside, Queens	0.0
99.8	105.46	 The year I turned 26 as the head of my own brokerage firm. I made 49 million dollars	0.0
105.5	109.3	 Which really pissed me off because it was three shy of a million a week	1.0
110.0	115.4	 No, no, no, no, my Ferrari was white like Don Johnson's in Miami Vice not red	0.0
119.38	123.06	 See that humongous estate down there, that's my house	0.0
124.6	126.38	 My wife Naomi	0.0
126.44	128.04	 My wife Naomi	0.0
128.3	129.68	 My wife Naomi	0.0
130.3	132.56	 My wife Naomi	0.0
132.56	135.26	 My wife Naomi	0.0
135.6	136.24	 My wife Naomi	0.0
138.4	139.28	 My wife Naomi	0.0
139.38	144.8	 Naomi the Duchess of Bay Ridge, Brooklyn a former model and Miller like girl	0.0
146.16	151.2	 Yeah, she was the one with my cock in her mouth in the Ferrari. So put your dick back in your pants	1.0
152.56	155.0	 In addition to Naomi and my two perfect kids	0.0
155.24	162.02	 I own a mansion private jet six cars three horses two vacation homes and a hundred and seventy foot yacht	0.0
169.04	174.62	 I also gamble like a degenerate. I drink like a fish. I fuck hookers. Maybe five six times a week	1.0
174.62	181.0	 I have three different federal agencies looking to indict me. Oh, yeah, and I love drugs	0.0
188.24	190.66	 Yeah, I like it	0.0
199.38	200.52	 Oh	0.0
219.84	223.34	 You okay, yeah, I'm all right good job	0.0
225.14	226.42	 Get in there safe. All right	0.0
227.36	229.9	 Next time brother till next time	0.0
236.22	240.46	 Yep on a daily basis I consume enough drugs to sedate Manhattan	0.0
241.36	245.81	 Long Island and Queens for a month. Okay, mr	0.0
245.81	252.04	 Jordan I take quail ouds 10 to 15 times a day for my back pain adderall to stay focused	0.0
253.2	258.04	 Xanax to take the edge off pot to mellow me out cocaine to wake me back up again and morphine well	0.0
258.82	259.94	 Because it's awesome	0.0
268.14	273.08	 But of all the drugs under God's blue heaven there is one that is my absolute favorite	0.0
275.76	277.76	 See enough of this shit will make you invincible	1.0
277.8	283.1	 Able to conquer the world and eviscerate your enemies	0.0
286.46	290.76	 And I'm not talking about this I'm talking about this	0.0
294.68	299.0	 Money doesn't just buy you a better life better food better cars better pussy	1.0
299.44	301.1	 It also makes you a better person	0.0
301.82	307.48	 You can give generously to the church or political party of your choice. You can save the fucking spotted out with money	1.0
309.08	310.16	 I	0.0
313.1	315.52	 Always wanted to be rich. So let me go back	0.0
315.94	320.26	 I'm 22 years old newly married and already a money crazed little shit	1.0
320.86	325.36	 So what do I do? I go to the one place on earth that the fit my high-minded ambitions	0.0
337.86	344.32	 You are lower than pond scum you got a problem with that	1.0
344.5	344.52	 Jordan	0.0
347.96	351.3	 No, no problem at all. Good because that is what you are pond scum	1.0
352.94	356.78	 Your job is connector, which means that you will be dialing the phone over 500 times a day	0.0
358.34	364.88	 Trying to connect me with wealthy business owners and until you pass your series 7 that is all you're gonna fucking be doing sit sit	1.0
365.56	366.04	 Sit sit	0.0
367.94	369.6	 Just saying out last year I made over	0.0
370.22	373.8	 $300,000 the other guy you'll be working for he made over a million	0.0
375.04	376.78	 million dollars I	0.0
376.78	379.22	 Can only imagine what a douchebag that guy must be	1.0
381.0	381.02	 Jordan	0.0
381.1	385.4	 Bell for yeah. Yes, sir. Mark. Hannah pleasure to meet you and you as well	0.0
385.44	392.68	 I see you've already met the village asshole smile and dial and don't pick up your fucking head into one. Hey fuck him	1.0
392.96	396.78	 I'm the senior broker here. He's just worth his pipe here. Don't you blow me Hannah?	0.0
397.74	403.08	 Now did you really pitch a stock in your job interview? I had to do something to stand out, right sir. I	0.0
403.86	404.78	 fucking love that	1.0
406.2	407.84	 Lunch today. Yeah	0.0
408.64	415.12	 We don't start dialing at 930 because our clients are already answering the phone three two	0.0
415.9	417.02	 one let's	0.0
417.56	422.18	 Know what money sounds like go to a trading floor on Wall Street	0.0
423.56	428.16	 Fuck this shit that cunt cock asshole. I couldn't believe how these guys talk to each other. I	1.0
428.16	428.58	 was hooked in seconds	0.0
433.08	435.96	 It was like mainlining adrenaline. Yeah, fuckface. Look at where the stocks at today	1.0
438.24	438.62	 Can't get any	0.0
438.62	439.02	 45 pick up the cock sucking phone	1.0
441.5	443.02	 Sorry, it's a mark to be raised well	0.0
445.36	446.22	 You were such a fucking douchebag	1.0
446.22	452.88	 Fucking douchebag, we don't get two shits about how technology because all we care about is getting fucking rich	1.0
453.12	454.32	 solid Jordan Bell	0.0
456.82	459.18	 Don't find a paint the tape	0.0
468.02	469.1	 Hold on that is hot	0.0
470.96	473.24	 Shut that motherfucker shut it shut it shut it	1.0
476.08	477.62	 Hey	0.0
479.32	480.46	 Oh	0.0
501.6	502.7	 Tootsie	0.0
502.9	503.92	 No, thank you	0.0
504.92	509.46	 What can I bring for you on this glorious afternoon well actor here's the game plan	0.0
510.02	512.22	 You know bring us two absolute martinis	0.0
512.52	518.64	 You know how I like them straight up and then precisely seven and one half minutes after that you're gonna bring us two more then	0.0
519.52	524.02	 Two more after that every five minutes until one of us passes the fuck out	1.0
524.92	529.16	 Excellent strategy, sir. I'm good with water for now. Thank you	0.0
530.02	532.3	 This is first day on Wall Street give him time	0.0
532.78	534.06	 Thank you	0.0
536.82	537.7	 Mr. Hannah	0.0
538.44	545.34	 You're able to do drugs during the day and still functions. He'll do your job. Well the fuck else would you do this job?	1.0
546.16	549.2	 cocaine and hookers my friend right I	0.0
551.06	554.54	 Gotta say I'm incredibly excited to be a part of your firm. I mean	0.0
556.28	558.76	 The clients you have are absolutely fuck the clients	1.0
559.78	562.44	 Your only responsibility is to put meat on the table	0.0
563.5	568.86	 You got a girlfriend I'm married. I have no wife her name is Teresa. She cuts hair	0.0
569.36	576.58	 Congratulations. Thank you. Think about Teresa name of the game move the money from your clients pocket into your pocket	0.0
577.4	582.16	 Right, but if you can make a client's money at the same time, it's advantageous everyone. I'm correct	0.0
583.18	583.7	 No	0.0
585.22	586.7	 Number one rule of Wall Street	0.0
588.02	588.8	 Nobody	0.0
589.56	591.72	 Okay, if you're Warren Buffett or if you're Jimmy Buffett	0.0
591.74	598.02	 Nobody knows if the stock is gonna go up down sideways or in fucking circles least of all stockbrokers	1.0
598.26	600.72	 It's all a fugazi. You know what guys is	0.0
601.58	606.12	 Fugazi, it's a fake. Yeah, it's a fugazi. It's a wazzie. It's a woozy. It's a	1.0
607.0	613.7	 Fairy dust it doesn't exist. It's never landed. It is no matter. It's not on the elemental chart. It's not fucking real	1.0
614.34	615.9	 All right	0.0
615.9	617.24	 Stay with me. Mm-hmm	0.0
617.58	620.22	 We don't create shit. We don't build anything	1.0
621.18	626.86	 So if you got a client who bought stock at eight and analysis at 16, he's all fucking happy	1.0
626.94	631.44	 He wants to cash in liquidate take his fucking money and run home. You don't let him do that	1.0
632.32	638.62	 Because that would make it real right now. What do you do? You get another brilliant idea a special idea	0.0
639.1	645.52	 Another situation another stock to reinvest his earnings and then so and he will every single time	0.0
645.88	647.16	 Because they're fucking addicted	1.0
648.2	651.54	 And you just keep doing this again and again and again meanwhile	0.0
652.84	655.48	 He thinks he's getting shit rich, which he is on paper	1.0
